,symbol,timestamp,open,high,low,close,volume,trade_count,vwap
139,AAPL,2025-12-01 14:14:00+00:00,277.84,277.89,277.84,277.89,2872.0,87.0,277.871306
140,AAPL,2025-12-01 14:15:00+00:00,277.96,277.96,277.79,277.79,2007.0,56.0,277.833
141,AAPL,2025-12-01 14:16:00+00:00,277.89,277.91,277.88,277.9,1671.0,51.0,277.897415
142,AAPL,2025-12-01 14:17:00+00:00,277.9799,277.9799,277.85,277.85,5844.0,63.0,277.906447
143,AAPL,2025-12-01 14:18:00+00:00,277.6496,277.6496,277.6496,277.6496,645.0,36.0,277.6496
144,AAPL,2025-12-01 14:19:00+00:00,277.69,277.7,277.68,277.68,939.0,27.0,277.684754
145,AAPL,2025-12-01 14:20:00+00:00,277.73,277.77,277.62,277.62,1884.0,44.0,277.741217
146,AAPL,2025-12-01 14:21:00+00:00,277.59,277.6,277.57,277.6,1750.0,60.0,277.595726
147,AAPL,2025-12-01 14:22:00+00:00,277.52,277.6,277.5,277.55,4039.0,135.0,277.538621
148,AAPL,2025-12-01 14:23:00+00:00,277.52,277.52,277.31,277.31,2736.0,81.0,277.449604
149,AAPL,2025-12-01 14:24:00+00:00,277.33,277.36,277.29,277.3,3278.0,85.0,277.320369
150,AAPL,2025-12-01 14:25:00+00:00,277.29,277.29,276.88,277.27,26205.0,403.0,277.041999
151,AAPL,2025-12-01 14:26:00+00:00,277.21,277.33,277.2,277.3038,4205.0,106.0,277.278439
152,AAPL,2025-12-01 14:27:00+00:00,277.2,277.5,277.2,277.4275,5174.0,139.0,277.429655
153,AAPL,2025-12-01 14:28:00+00:00,277.9,278.17,277.77,278.1,10334.0,274.0,277.990366
154,AAPL,2025-12-01 14:29:00+00:00,278.1,278.18,277.96,278.18,15176.0,177.0,278.022981
155,AAPL,2025-12-01 14:30:00+00:00,278.1,278.55,278.01,278.34,973063.0,26511.0,278.180089
156,AAPL,2025-12-01 14:31:00+00:00,278.4,278.78,278.04,278.04,265178.0,4269.0,278.498806
157,AAPL,2025-12-01 14:32:00+00:00,278.04,278.3794,277.86,278.01,126271.0,2758.0,278.117546
158,AAPL,2025-12-01 14:33:00+00:00,278.02,278.1,277.72,277.8,115494.0,2783.0,277.930074
159,AAPL,2025-12-01 14:34:00+00:00,277.83,277.8751,277.35,277.575,147844.0,3293.0,277.561115
160,AAPL,2025-12-01 14:35:00+00:00,277.565,278.13,277.48,278.13,151577.0,2864.0,277.792322
161,AAPL,2025-12-01 14:36:00+00:00,278.1,278.17,277.7528,277.7528,117398.0,2658.0,277.96432
162,AAPL,2025-12-01 14:37:00+00:00,277.77,277.88,277.7,277.7584,72884.0,1746.0,277.792428
163,AAPL,2025-12-01 14:38:00+00:00,277.78,277.965,277.78,277.885,64757.0,1670.0,277.886614
164,AAPL,2025-12-01 14:39:00+00:00,277.8601,278.0299,277.77,277.87,99402.0,2225.0,277.896296
165,AAPL,2025-12-01 14:40:00+00:00,277.87,277.985,277.56,277.66,95868.0,2173.0,277.74361
166,AAPL,2025-12-01 14:41:00+00:00,277.63,277.71,277.2,277.23,115574.0,2340.0,277.388695
167,AAPL,2025-12-01 14:42:00+00:00,277.23,277.23,277.0464,277.0701,107798.0,2344.0,277.139971
168,AAPL,2025-12-01 14:43:00+00:00,277.07,277.078,276.81,276.93,204299.0,3843.0,276.943484
